gu
liau
qiao
qian
phung
roe
chiao
cheung
zhong
tsen
gang
ga
go
liao
sung
row
kiong
truong
tu
young
to
phuong
ti
kwong
te
zhang
kiang
maan
fan
fam
tuan
tshui
cheang
gui
guo
gum
sang
chew
cheu
cher
ten
teo
ze
chee
fong
chen
neo
sun
sum
cai
kuo
cheng
nham
thin
lee
lei
lek
ching
maeng
syun
lew
ley
sheung
koong
ngwe
hiong
kiung
chang
koeh
jau
hsu
mun
ziu
che
giang
chi
swee
baey
cho
chu
vi
rhee
baek
pung
ooi
loong
vo
nong
ma
mo
phoa
tng
cao
can
chiong
yoong
duan
thia
phang
phon
kyo
wang
liung
tay
chiu
chin
chio
beng
thuong
tan
chia
tai
ngai
tseng
ryo
hoe
siu
eng
hon
song
hok
hoh
hoi
sia
hou
hor
khiau
wung
ryu
sio
sim
sng
mar
tsho
fu
yun
maa
mac
tuong
lay
seol
mai
mah
law
tiet
tieu
chiew
jiang
tsai
sit
su
tsao
nhiem
si
so
cing
tsay
sa
xia
hom
kueh
soon
kong
pang
siong
tso
le
jia
jin
lo
tse
li
peng
jiu
jip
soh
soong
koay
yi
then
noi
yo
dam
dan
dao
ye
tseon
bang
pai
mao
uong
theu
yu
banh
pak
chhoi
tram
loy
tran
theng
trau
wong
man
lung
hsiao
en
chung
lam
ee
kang
tsoi
siot
siow
lao
gwok
yeap
tsou
eu
tien
chioh
lai
goo
kiew
goh
kieu
hsiang
phua
ren
ra
tshia
gou
tshin
ro
ri
giam
pun
thong
cheong
dung
kok
tian
hew
tsiong
kiu
shum
zung
jew
teoh
seow
jeung
iak
hac
eun
yuk
kung
seob
trieu
xiang
yue
seok
ding
geung
yong
paeng
tei
khu
ong
dinh
hooi
dong
lau
zau
xu
koh
siau
toy
xie
koo
yim
yin
rong
tow
yik
tou
yiu
yit
toh
ton
yip
tom
dyun
tseung
kor
kou
iap
quay
liang
thau
ryuk
jyun
chwee
hui
yeong
thai
chong
hyang
tham
beh
toa
jen
bey
dang
cheoh
seet
sak
sai
ang
sam
saa
tshien
deung
seac
vuong
gia
khong
hsieh
hua
lim
lin
lio
khung
goeng
liu
zou
heoi
chhang
kao
kan
kam
khoh
khok
kau
khoo
chien
ka
doi
hsueh
ko
yang
ku
gung
chiang
liuk
deng
dou
kwok
chhai
sze
chhau
chean
cheah
hsiung
feng
lu lou
joeng
iep
quek
ngo
chhi
sieu
siet
foong
jao
jam
iem
png
meng
wooi
daai
do
hiu
suen
du
tsang
him
ngim
shu
vien
chhoa
ban
shi
chhou
yeung
bak
bai
seu
set
ser
laai
liow
seak
baak
see
seah
khiew
liok
seo
tshau
sek
jeong
luu
fang
teng
woo
won
kuok
vong
lui
luk
lum
luo
huong
men
tsui
ju
tsua
wi
wu
jo
joe
huang
ker
quach
duong
wee
thou
ler
vui
thom
thon
thoi
ung
coi
leu
khuong
jim
co
tun
tong
leoi
tseui
tseun
tiu
gong
poh
leow
tiang
yeoh
yeom
yau
shim
yap
ting
yao
lu
sese
yeop
yeow
chue
chua
chun
hung
cung
chui
gao
fung
cou
xiong
gaa
hoang
looi
tang
nguy
hau
vun
ryong
ngui
manh
hoan
dae
heng
ip
chau
xiao
yam
rim
im
vu
cong
tiong
khng
hong
shaw
shau
pay
fo
noe
shak
loke
shao
pan
yung
phi
yoon
pho
nim
mang
hang
phe
dai
ion
doan
kim
kia
yuan
tung
niu
tjan
thu
chooi
tho
phan
zyu
phak
na
voon
the
leong
yeh
yeo
yen
ngung
yee
chhin
chhie
gwak
lik
chhia
hah
hak
ham
han
hao
haa
wei
taam
wen
hay
trinh
hsia
cui
mor
mou
nghiem
mok
xue
heu
jyu
ngiam
lok
thien
shen
shek
bach
thach
ryeo
thieu
tseu
tuen
khoong
moon
huynh
peh
cu
pek
kwek
foo
be
hiung
bu
yuen
loeng
oh
choh
choi
chon
choo
chou
chow
choy
heung
tsia
soo
son
sou
liew
lieu
liong
wan
vai
van
thang
wai
ryang
loh
loi
loo
long
lor
hee
yan
keong
low
zoeng
lou
huan
jang
heo
khiu
khew
mau
keung
hu
hi
bun
ho
ha
he
faan
zhu
ngiem
cin
un
ui
khau
shih
qin
shin
chae
chai
chan
chao
zeng
chaw
aw
kho
qiu
shiu
no
oan
zang
zhao
ng
tin
tio
jong
sih
toan
zheng
leng
zhou
diep
ceon
ceoi
dieu
dien
diem
beom
poon
lang
jeon
tzeng
gam
eom
soeng
chhien
tao
ninh
nguyen
